payment,chain,status
dfcb39929fa4a4df816cfbc4900b6929,2,Captured
89e48ceb2546d04bb91083ced435721a,2,Captured
547bb7a78aff1588ce8922c8dfc693bf,Z,Failed
2c632716035ee2f39f637a2ecc1073b1,2,Captured
d677a7229e6aee26f84785af72cb7654,0,Captured
bb873fc05990b61eee3e8703c8edc0d7,2,Captured
fa41fed4eb3aa2a2f24e944126210751,8,Captured
4dbadd822c7f110330f622c72ec1cc51,Z,Failed
ade547841c0f3b0e40d4d51bb841a6c6,Z,Failed
b86671b5f9be63ba0b61490bea5d7b58,Z,Failed
add1cb9e53df88a803031e49d47f180b,8,Captured
4af88fdc69f0141aa1a5c07cac49a168,2,Captured
208258c684a6ceada09a5f8b7bb1cf28,8,Captured
fa295f043f8442d01a677c5722efc82b,8,Captured
504e9ae3ebf2d7c131e2d15a58b23932,1,Captured
7ffc11311a896270dcd5c65dbe296727,9,Captured
1aedb7760df6426ad288d41490035751,Z,Failed
0efd69758765789b0d9cf6f4eb15653c,Z,Failed
9706f9eb03b0ddabd6140283c42948d0,2,Captured
ae5dec5e46a7778cb2cfbe118b065e3e,2,Captured
7196a2d9b702060bb03d00d71eb64079,Z,Failed
37bc4e0ec80e5227e0482ae08c6d044e,Z,Failed
359c103c21d3cde653c484bdf42556be,2,Captured
359d9de5cfb986b4dfdc13a8c620f18f,2,Captured
fcd3bf4bd809675c561bf223c203ccae,Z,Failed
6e7d63aa7f5f68f29cf4ba5c558b56ff,Z,Failed
a3438f2bc65668ec703380c625d64567,8,Captured
ae8f3d8ff945a498038b5cd9904a2183,Z,Failed
0ce5be1c222fbcb61d1ca5aea2124589,Z,Failed
d24ec51093cd292398cffcf4c79423f2,0,Captured
dd72f4381665481947cc34dcc258237b,Z,Failed
5e32f75e3a2d81e2e18acc16b92e9767,Z,Failed
79dc84a436c66ed1dda9a5d1e2ab19af,2,Captured
b6f2d7f6beb06a916319f512b9ebfcdb,Z,Failed
c18acaaf58659022d56d8f332c8bc82d,2,Captured
dead82d275c2c52cca543ea779e41757,2,Captured
7c623772c6aa2c4225ce884f1d7356db,Z,Failed
74d79a5695e5af4e061cf5c57e332d6c,Z,Failed
45335d93bc71ee398a1c6f496dca7f7e,Z,Failed
4b51848c6d1cd69027f1d73322db497a,Z,Failed
0b8dfa2395e7db5538a9e5eedad0b3b0,2,Captured
4cc9b086593c062c85c03b88bd88e6b5,Z,Failed
cc5b1c3ef4daeb1db21b7782e435b309,Z,Failed
a27235b70f422e31640ce6f4a88c5f7f,Z,Failed
05843ea690acdfe3981b9c994c8575eb,Z,Failed
7bae78ae646a4300956b7e338f427371,Z,Failed
03062dc6336ec87fcf997ac1253f54e4,12,Captured
4f1f9b42f0233ec5992aec4fa36e30a0,2,Captured
f9c5025481dbb2802d8aba49623fd7c4,0,Captured
40a2c6379965f73be3603992c2718722,2,Captured
bdd5e166285708513a4a8b00cca95d0a,2,Captured
bffd6d55f1972547d5a201c56358dcf2,8,Captured
ab97db73a9ab3ebea96cc17446859b8b,Z,Failed
a547ec07681cbaf038cd4275d15ed30a,1,Captured
d1ea9efd5c55d38ac4c08cb71d6ce811,1,Captured
5d345caf336a161208e428c62e46c31a,Z,Failed
b53e5baaa74f87c184ef4a51145bcbe7,Z,Failed
dc39601ad8818a6c28ea2c89eb2003fd,2,Captured
e17ba0b222e6decb3b0ae418b619520a,0,Captured
fb2c8a9415786de89e11b068602a6ca4,2,Captured
6398037d395af32a01c006abf98d2b5d,2,Captured
63295d833bd446dcdbdcb177d39b4137,Z,Failed
83a677c30f2aaf9f0208cdbc1de412e7,Z,Failed
04180bc46d96c63a0d5bcc2d4f3541c3,Z,Failed
933e94a68149fa3fbfafdd56ab73af7f,2,Captured
ba2a13289c8cbfcbd2b8a8f76c72cc52,Z,Failed
923c19aa2023cafc0ae138c8ac9e5401,1,Captured
e9a66d7c43abe1e3bb8b05dc93bf1908,Z,Failed
e6a92c502d5d1d8d0012000a09849f81,0,Captured
841898814975047401b9299bbd353cb2,Z,Failed
8e2d774bde85da9eae228fbb869b9369,Z,Failed
2076b262a2b2476996b273cc15e9cad9,2,Captured
eaeeaebfb33b9bd62216998382cd1f3e,1,Captured
b33b6d525bb7dd8bd1f4c4da3263f88c,Z,Failed
c4c7bb4f6ba5e58e67b6c513525d1a4d,Z,Failed
3a9a934dcfdf20ed7424b9297b484ccb,Z,Failed
7e89b4fc852b782c4781e1c10a8c76b9,2,Captured
98c0399c891dba6c282c78e32d8e9c16,2,Captured
952acdaf2828a6d8b3896981f3c696a3,2,Captured
8be4508ee81f679f43c50a265f16751e,2,Captured
182b0ba8c1952beac52d46cadf5e6b0f,Z,Failed
47e8b4edcdd58e0c4c3037dd5d776282,Z,Failed
7e0257028ffef9b6cd72aa4f7cd4a199,Z,Failed
ecb494057c392dce5ed7ba9a4a45abd0,2,Captured
3323c19b65583be58e5082969387107b,Z,Failed
12277b1b531858e804e4d64ad38281ab,Z,Failed
34ab3563fd21145fcb69e2ad0361bee9,2,Captured
8b7177ae986ce882a747599f3d0aefb7,2,Captured
83d69b631364662ded5f2bfea1591a2a,2,Captured
ecc66d0c63f471a7865fc279374d93d0,13,Captured
d65db4b9824b36e347f94e2a5ee241a0,2,Captured
0693540d6e26a4dd55515c7e7b3bceca,Z,Failed
d2cde361a9e09deb67d83bd5c097402a,Z,Failed
73aef5e3970f0697613942d48d31ddc6,Z,Failed
d16c41b5eb2db009fd5ebb3d0555b4fa,Z,Failed
d1f2a80b5459120b7f4565d9d8d10f4d,2,Captured
d673145a380ff69af9118809b0cf90ca,2,Captured
b6d9b1132f3d5bbba7a106a69e285fe7,Z,Failed
c5982081088eb71f8161931b01d3d42f,Z,Failed
c52231a835dfff6e52142c5bc9303d1d,1,Captured
b1832993e4cb4a1330b04d07ae6db2e6,2,Captured
252e5f0a72f31373650b39c4305b7477,Z,Failed
f85ed4498d5661bdae7c79d1ee256ebb,Z,Failed
6f4407fb089c7bf04548ffc84033b872,2,Captured
e216b6a62164d4291bd33ab2277d9334,2,Captured
f8317d37b2c30128450306cce4c9c487,Z,Failed
2bf4189fcba4683e1e13f15f94995970,2,Captured
10a5bec26c90797fac221a72de81d6a1,2,Captured
553231620499c2d58f5a382ee6403aaa,1,Captured
4641f49992bb3c1bf9537bad79cda5f3,Z,Failed
cc9daad44fbad09ad4f30aa567b55109,Z,Failed
eadbc182b32f72978aa0e3f959b9ace0,0,Captured
74808a02e31c08fdb6bb01056d4145f8,1,Captured
b61c8818764f60cc51200da1854f2f04,2,Captured
b48b1ad0b252609836d15ccd9e6c5473,9,Captured
fa3fcc48003f8edb8d48c065471dc931,3,Captured
ecb9a6be924834513e82ae730437d399,2,Captured
bd14395008dc18c2e919b7d079c6ed38,Z,Failed
d5ea0649e7432bb99ab42b9a6b774552,Z,Failed
39570f0ead80eab548efd5faae2ddfd8,2,Captured
7dec93359c5cc6d00a352fa852c623da,2,Captured
a5cb5975c3c565460bfaf74986a2e6a3,1,Captured
8f7dc64f58bfca8decfda53c5b32b31f,Z,Failed
0c68937c1296b7d6b86cdb4addb9ea8c,Z,Failed
95c4a19c6b4a171dea8cf38bfe16ed6b,Z,Failed
a74a23bb59075e194b10679f4dfb9568,9,Captured
a07e1e7431499db99c6648f7a18b0173,Z,Failed
7c65208355f6c7061ae306d1aad2159c,Z,Failed
76685cd747e0c2801a9bb030c48e35c6,2,Captured
0b28ce2300862bbc80ef2c4e1a1e0300,Z,Failed
a04c96e1071918ff210ab4e9ac0394c9,Z,Failed
d102e7afc4aae0937e273fea5d8d66b6,Z,Failed
aeaf33309bdcf70cc9276b1f17f8fd3b,Z,Failed
7df3b0238b3f9a6607e171316315ed08,2,Captured
73fe42c4505df6ab5c1e3446675c1f9c,Z,Failed
22ca6f16feed2a3d40640508f5fff92b,1,Captured
a1b618751cca4b02ced9adc85626f0a4,2,Captured
97c0ac1b9b0ec36c38022286a94b6e63,12,Captured
49d506499f2b66ad8859dd7f99c1a07f,Z,Failed
1401a46d9da6ae1b03ea3da86a0ad039,9,Captured
5cf8620912f7c1d73b4b6bdf712e132a,2,Captured
aca30cebdf28b9ddfa8afc72f694365a,9,Captured
f6ee8d30b65cf0553f60479a8e60862b,Z,Failed
e2b56b5fde4f7f055da949357931bba5,2,Captured
2c196b628bdf050cfa487c2b1a646f07,Z,Failed
a45fb8c9daa3ba5ba257a25a3395d17e,Z,Failed
b8e55365168d7eee2b7438fa83dfe814,Z,Failed
77eb75a7ab8cf276c0c11bda2b8969bf,2,Captured
be31128542245dc2040d4780132a9b8b,9,Captured
c124bb4becca5ef4a7551f3136ef3b2a,1,Captured
4169f7c7a0acdeea23029f6c8010fc12,Z,Failed
b24a58dc7ad5d9c17de5203f21038c4f,1,Captured
046f642f3c3f33da089f729cdfc0bbf4,2,Captured
7687392419fc442b2cda09437fad7a7b,Z,Failed
767696e2ad6cab6477d4dcc0bda8296a,1,Captured
8471df8dc9326f3ff868edc228268349,2,Captured
fe6cae070301b673f77a92fcd4ec0011,8,Captured
235a879e729635e13499a0ecc862ab8a,2,Captured
6ef719a1cd87a86bd2161efe08db6601,2,Captured
f6cbe3583f55daffd61375200ed51d10,1,Captured
efb9b38075cad53b0296fb159e4a7629,Z,Failed
8fc9a0b10396fde9cb5507f8bc722e40,2,Captured
49f00160d14584fc030982295fb01063,Z,Failed
7dbd40c68ecaa748ed95486c60017621,Z,Failed
5289dd3a51ea54a6b96bc92bd5dab9bf,2,Captured
04b88f0981c80af51ad6e62a5fb195a6,Z,Failed
b2c5a761c630c27ac5cdbc44ace6ef40,Z,Failed
f2cccc909c2ff8551cf583f655691b51,0,Captured
bf6a73e1a29da0c5e764d30d069f1f65,0,Captured
8ebf9dce84f1f6d6758451cf6e033635,2,Captured
c46631e699b8e01a242cf6894f24e367,1,Captured
e006803811ca613c82d819614d8ac232,Z,Failed
042f15d470fdcd690797e07e6f581e5c,Z,Failed
b31c1eee4a13527269880393d6f53220,Z,Failed
c632f71a7123fc27c87d7c14f7afff89,2,Captured
57e4ed91e6bfdf2c90bca5babcd1ca86,0,Captured
298a07de7703e3a08480c2a4b138b428,1,Captured
748e513a6b85566a2d6d6f1ec4abb966,2,Captured
755b9fff86668985cb926b42ad2b7b12,Z,Failed
52667799fd371796df50fb4aad642b8f,Z,Failed
fb922cb65f2f42efde596a8266f9e13a,1,Captured
1437db472d5bcaa7893f1afb9bd0d1ff,0,Captured
7783b00b1af372ac3631e0fb99126a37,Z,Failed
9dcbf81e24d8b3bebb5db2980408bea4,1,Captured
483d43f03a7be32d290df553e5f2479d,Z,Failed
68e291e62818174c65f8705e2c1f04f6,9,Captured
1b8c118883d19a4521f61fcc87b09b48,Z,Failed
07107b8eb0af797c7d65786b99b8c235,Z,Failed
aadef7814754cd0ff8bbf5fe67705419,2,Captured
101cc02d87ff13315cd57657fe7bb286,3,Captured
c0c26aab6fd597efc94ee5d7194fc043,Z,Failed
6b32989e0049e5b6a2acefb1f27e5947,Z,Failed
599619dab6493c67d5c63c9afbf9a347,Z,Failed
831568bd21fdcf4dc410908c4ece8539,Z,Failed
9a1a9fdb0ed3ffebf07fb4da0dafae18,Z,Failed
9a4b61a0c9515767409a971a0287c9ba,Z,Failed
14273ebd89a816aa26b3e6411aade36b,Z,Failed
dcf277452c4955abe69bf5d482f17617,1,Captured
39a9a479641a08ffb17b6f6a6409a709,2,Captured
5529b29f08dfac6c4bd2facb21212ff7,2,Captured
ffa222245af58f67c54e4ad209fa6e20,Z,Failed
