Дней с продажи	Статус клиента	Уровень клиента	Активность клиента	Тип клиента	Последняя покупка	LTV выручка	Периодичность покупок, д. (пп)	Кол-во покупок (пп)	Покупатель	Client_ID	Первая покупка	LTV валовая прибыль	Группа любимых категорий (лк)	Всего любимых категорий (лк)	Самая любимая категория (лк)	Средний чек (пп)	Выручка (пп)	% ВП (пп)	Валовая прибыль (пп)	% редких	Класс редкости
825	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	27.09.2020	14207,5	?	?	"ООО ""Положение"" ИНН 7896913934"	CL_01	27.09.2020	6544,884201197017	?	?	?	?	?	?	?	0	1. Стандартный
3	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	28.12.2022	32070,100000000002	31	9	"ООО ""Решительная скорость"" ИНН 96234274341"	CL_10001	09.10.2021	13017,31353955805	Мольберты-Станковые	1	Мольберты-Станковые	3079	27710	0,393	10886,950427741554	0,05263157894736842	1. Стандартный
366	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	30.12.2021	11193,8	?	?	"ООО ""Управление"" ИНН 66912194025"	CL_1001	15.07.2021	6168,592795584196	?	?	?	?	?	?	?	0,125	2. Энтузиаст
22	2. Рабочий клиент	4. Начинающий	1. Действующий	Известный клиент	09.12.2022	10699,100000000002	78	4	"ПАО ""Час"" ИНН 13746866995"	CL_10011	09.10.2021	5283,000438123283	Бумага-Картон-пенокартон | Основы-холст на подрамнике-Студенческий-Лен | ВС масло грунтовки | Живопись-масло-профи-Мастер-Класс ЗХК | Бумага-Картон-для моделирования	5	Бумага-Картон-пенокартон	2578	10311	0,495	5103,150438123283	0,07692307692307693	1. Стандартный
7	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	24.12.2022	28296,050000000003	60	5	"ООО ""Зал"" ИНН 84426324283"	CL_10021	09.10.2021	14441,700164909427	Графические материалы-маркеры-ручки  | Живопись-темпера-ПВА ЗХК | Графические материалы-маркеры-маркеры | Графические материалы-акварельные-наборы	4	Графические материалы-маркеры-ручки 	3558	17789	0,526	9365,875050581639	0	1. Стандартный
307	1. Разовый	4. Начинающий	3. Забытый	Известный клиент	27.02.2022	8846,400000000001	0	1	"ООО ""Фактор"" ИНН 84921320774"	CL_10031	09.10.2021	3847,7600912608436	Живопись-гуашь, Таир, банка 100мл	1	Живопись-гуашь, Таир, банка 100мл	276	276	0,595	164,34999999999997	0	1. Стандартный
12	2. Рабочий клиент	2. Важный	1. Действующий	Известный клиент	19.12.2022	187472,34999999998	38	8	"ООО ""Правительство"" ИНН 39913231628"	CL_10041	09.10.2021	112076,29910155207	Аэрография - Оборудование - Компрессоры	1	Аэрография - Оборудование - Компрессоры	19894	159151	0,611	97302,72925397124	0,14285714285714285	2. Энтузиаст
376	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	20.12.2021	9103,45	?	?	"ПАО ""Массовый круг"" ИНН 61958913507"	CL_10051	09.10.2021	4798,749596688147	?	?	?	?	?	?	?	0	1. Стандартный
293	4. Потерянный клиент	4. Начинающий	3. Забытый	Известный клиент	13.03.2022	8603,2	5	2	"ООО ""Наибольшое право"" ИНН 7940585529"	CL_10061	09.10.2021	4236,332256573039	Живопись-гуашь, Гамма, банка 75мл, флуоресцентный | Графические материалы-маркеры-ручки  | Живопись-Акрил студия - Арт Таир банка | Живопись-гуашь, Гамма, банка 75мл, перламутровый	4	Живопись-гуашь, Гамма, банка 75мл, флуоресцентный	1205	2409	0,48	1155,259724815319	0,21428571428571427	2. Энтузиаст
281	4. Потерянный клиент	4. Начинающий	3. Забытый	Известный клиент	25.03.2022	18594,9	4	2	"ООО ""Принцип"" ИНН 80799798921"	CL_10071	09.10.2021	10150,439541490607	Графические материалы-мягкие прочие-соус | Графические материалы-мягкие прочие-сангина, сепия, мел | Графические материалы-инструменты-ластики | Графические материалы-чернографитовые-штуки	4	Графические материалы-мягкие прочие-соус	284	567	0,428	243,10383867525906	0	1. Стандартный
33	1. Разовый	4. Начинающий	1. Действующий	Известный клиент	28.11.2022	6899,65	0	1	"ООО ""Ослепительная мысль"" ИНН 5311448154"	CL_10081	09.10.2021	3400,511516025777	"Основы-холст на картоне | Кисти-Масло-Синтетика | Товары с логотипом ""Передвижник"" | Графические материалы-специальные-по дереву(столярный), химический"	4	Основы-холст на картоне	5427	5427	0,506	2743,791516025777	0,08333333333333333	1. Стандартный
108	4. Потерянный клиент	4. Начинающий	2. Приостановленный	Известный клиент	14.09.2022	15878,9	60	3	"ООО ""Отличный берег"" ИНН 82255220459"	CL_10091	09.10.2021	6907,630549770238	Литература-Мировое иск-во-Монографии	1	Литература-Мировое иск-во-Монографии	2524	7571	0,332	2516,275994480245	0,13333333333333333	2. Энтузиаст
372	5. Прекратил работу	3. Перспективный	3. Забытый	Известный клиент	24.12.2021	72521,5	?	?	"ООО ""Статус"" ИНН 62137338446"	CL_101	06.11.2020	33939,7054998056	?	?	?	?	?	?	?	0,05555555555555555	1. Стандартный
9	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	22.12.2022	53951,8	36	7	"ПАО ""Направление"" ИНН 51589412496"	CL_10101	09.10.2021	26984,840920361312	Живопись-масло-студия-Студия Гамма | Бумага-Картон-пенокартон	2	Живопись-масло-студия-Студия Гамма	6560	45918	0,505	23194,03960599146	0,037037037037037035	1. Стандартный
534	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	15.07.2021	8186,8	?	?	"ООО ""Передача"" ИНН 20301614083"	CL_1011	15.07.2021	3803,4777817848117	?	?	?	?	?	?	?	0	1. Стандартный
147	1. Разовый	4. Начинающий	2. Приостановленный	Известный клиент	06.08.2022	13210,900000000001	0	1	"ООО ""Кадр"" ИНН 44055759530"	CL_10111	10.10.2021	7023,792295050713	Кисти-Специальные-Синтетика | Живопись-Акрил стандарт - Polycolor 3D Maimeri банка | Живопись-Акрил стандарт - Polycolor Maimeri банка | Живопись-масло-студия-Classico Maimeri | ВС масло связующие	5	Кисти-Специальные-Синтетика	7193	7193	0,549	3948,3500000000004	0	1. Стандартный
9	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	22.12.2022	57788,95	26	9	"ООО ""Возможность"" ИНН 77601680149"	CL_10121	10.10.2021	27489,782822841364	Литература-Учебные материалы	1	Литература-Учебные материалы	5065	45582	0,466	21248,73291285034	0,13157894736842105	2. Энтузиаст
201	4. Потерянный клиент	4. Начинающий	3. Забытый	Известный клиент	13.06.2022	22778,05	44	3	"АО ""Массовый элемент"" ИНН 32710019355"	CL_10131	10.10.2021	11749,45477344401	Бумага-Картон-пенокартон | Графические материалы-маркеры-ручки 	2	Бумага-Картон-пенокартон	3796	11389	0,564	6423,9231189093325	0,0625	1. Стандартный
116	4. Потерянный клиент	3. Перспективный	2. Приостановленный	Известный клиент	06.09.2022	66221,14999999997	46	4	"АО ""Потрясающая информация"" ИНН 41796028252"	CL_10141	10.10.2021	33104,86213420277	Живопись-Акрил-Наборы-Декоративный | z-Уценка группы 15.12.2009г. Декоративные-вывод	2	Живопись-Акрил-Наборы-Декоративный	7119	28475	0,502	14296,656680309266	0,1282051282051282	2. Энтузиаст
30	2. Рабочий клиент	2. Важный	1. Действующий	Известный клиент	01.12.2022	89332,70000000001	27	11	"ООО ""Убедительное управление"" ИНН 91990826013"	CL_10151	10.10.2021	44484,72278489662	?	?	?	7774	85516	0,494	42251,52278489661	0,08823529411764706	1. Стандартный
84	4. Потерянный клиент	3. Перспективный	1. Действующий	Известный клиент	08.10.2022	39678,900000000016	20	12	"ООО ""Интерес"" ИНН 22591366899"	CL_10161	10.10.2021	18109,02369251015	Подрамники, рамы-рамы-неокрашенные без стекла | Живопись-акварель-тубы/кюветы | Кисти-Масло-Колонок	3	Подрамники, рамы-рамы-неокрашенные без стекла	2433	29200	0,455	13287,148654400882	0,06451612903225806	1. Стандартный
182	1. Разовый	3. Перспективный	3. Забытый	Известный клиент	02.07.2022	33998,499999999985	0	1	"ООО ""Курс"" ИНН 75873620665"	CL_10171	10.10.2021	16230,263721067517	Литература- Материалы и техники-Стекло | Кисти-Акварель-Колонок-Соболь | Кисти-Масло-Колонок | Основы-холст на подрамнике-Студенческий-Лен	4	Литература- Материалы и техники-Стекло	11999	11999	0,439	5262,18	0,1	1. Стандартный
447	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	10.10.2021	7997,65	?	?	"ООО ""Разработка"" ИНН 47357776047"	CL_10181	10.10.2021	3752,9899999999993	?	?	?	?	?	?	?	0,14285714285714285	2. Энтузиаст
