Дата	Клиент	Чек	Товар	Количество	Сумма, руб#
03.03.2017	000113	000112	000114	1	397,4576
06.03.2017	001122	001121	000131	1	143,2203
06.03.2017	001122	001121	000213	1	16,9492
06.03.2017	001122	001121	000455	1	10,1695
06.03.2017	001122	001121	000068	5	419,4915
06.03.2017	001122	001121	000007	1	8,3898
06.03.2017	001132	001131	001133	1	338,1356
06.03.2017	001132	001131	000022	2	625,4238
06.03.2017	001132	001131	000007	1	8,3898
06.03.2017	001334	001333	001335	1	3388,9831
06.03.2017	001334	001333	001336	1	253,3898
06.03.2017	001334	001333	000078	1	507,6271
07.03.2017	001453	001452	000209	5	631,356
07.03.2017	001453	001452	000210	1	83,8983
07.03.2017	001453	001452	000611	2	252,5424
07.03.2017	001453	001452	000635	3	505,9323
07.03.2017	001497	001496	000022	2	625,4238
07.03.2017	001497	001496	000434	1	126,2712
07.03.2017	001497	001496	000007	2	16,7796
07.03.2017	001497	001496	000936	2	1184,7458
07.03.2017	001654	001653	001655	1	1694,0678
07.03.2017	001654	001835	001655	-1	-1694,0678
07.03.2017	001654	001653	001656	1	236,4407
07.03.2017	001654	001653	000981	1	168,6441
10.03.2017	002298	002297	001141	1	211,0169
10.03.2017	002298	002297	002299	1	202,5424
10.03.2017	002298	002297	002300	2	245,7628
10.03.2017	002298	002297	002301	1	761,8644
10.03.2017	002298	002297	002302	1	16,9492
10.03.2017	002298	002297	002303	1	143,2203
10.03.2017	002298	002297	002304	1	143,2203
10.03.2017	002298	002297	002305	1	168,6441
10.03.2017	002298	002297	002306	1	126,2712
10.03.2017	002298	002297	002307	1	211,0169
10.03.2017	002298	002297	002308	1	253,3898
10.03.2017	002298	002297	002309	1	278,8136
10.03.2017	002298	002297	000309	1	10,1695
10.03.2017	002298	002297	000326	1	143,2203
10.03.2017	002298	002297	000854	1	55,0847
11.03.2017	002472	002471	002197	1	16,1017
11.03.2017	002472	002471	002473	1	168,6441
11.03.2017	002472	002471	002474	1	126,2712
11.03.2017	002472	002471	002475	1	1185,5932
11.03.2017	002472	002471	002476	1	10,9322
11.03.2017	002472	002471	002477	1	12,7119
11.03.2017	002472	002471	002478	1	13,5593
11.03.2017	002472	002471	002479	2	32,2034
11.03.2017	002472	002471	002480	1	211,0169
11.03.2017	002472	002471	002481	1	236,4407
11.03.2017	002472	002471	000349	2	49,1526
11.03.2017	002472	002471	000007	1	8,3898
11.03.2017	002472	002471	000711	2	83,0508
13.03.2017	003073	003072	003074	1	227,9661
13.03.2017	003073	003072	003075	1	304,2373
12.05.2017	009133	009132	006306	1	182,2034
12.05.2017	009133	009132	009134	1	1439,8305
13.05.2017	009162	009161	001206	2	133,8984
13.05.2017	009162	009161	001974	1	338,1356
13.05.2017	009162	009161	003338	2	52,5424
13.05.2017	009162	009161	005870	1	160,1695
13.05.2017	009162	009161	000007	2	16,7796
13.05.2017	009162	009161	000879	1	80,5085
13.05.2017	009162	009161	000009	2	150,8474
16.05.2017	009354	009353	002296	1	1686,4407
16.05.2017	009354	009353	009355	1	3236,4407
16.05.2017	009354	009353	009356	1	385,5932
18.05.2017	009440	009439	009441	1	2287,2881
18.05.2017	009440	009439	009442	1	1439,8305
18.05.2017	009454	009453	006927	1	1270,339
18.05.2017	009454	009453	009455	1	575,4237
21.05.2017	009610	009609	002214	2	506,7628
21.05.2017	009610	009609	000225	1	168,6441
21.05.2017	009610	009609	002401	1	244,9153
21.05.2017	009610	009609	000080	1	16,1017
21.05.2017	009610	009609	008974	1	592,3729
22.05.2017	009703	009702	001275	1	100,8475
22.05.2017	009703	009702	000225	1	168,6441
22.05.2017	009703	009702	009704	1	1948,3051
23.05.2017	009734	009733	005518	2	116,9492
23.05.2017	009734	009733	005656	6	503,3898
23.05.2017	009734	009733	005888	2	116,9492
23.05.2017	009734	009733	006743	2	116,9492
23.05.2017	009734	009733	008061	1	6347,4576
28.05.2017	009959	009958	009207	1	1778,8136
30.05.2017	010059	010062	001018	6	71,1864
30.05.2017	010059	010058	000225	1	168,6441
20.06.2017	011184	011183	000058	1	50
20.06.2017	011184	011183	008845	1	5931,3559
30.06.2017	011565	011564	002384	5	4233,051
30.06.2017	011565	011564	003218	1	219,4915
11.07.2017	012068	012067	012069	1	372,0339
11.07.2017	012068	012067	012070	1	405,9322
11.07.2017	012068	012067	008968	1	148,3051
12.07.2017	012095	012094	012096	1	388,9831
12.07.2017	012095	012094	005769	1	727,9661
13.07.2017	012114	012113	012073	7	622,8817
13.07.2017	012114	012113	012074	1	55,0847
13.07.2017	012114	012113	012075	2	100
13.07.2017	012114	012113	012076	4	200
13.07.2017	012114	012113	000007	1	8,3898
13.07.2017	012123	012122	012124	2	3388,1356
13.07.2017	012123	012122	000348	1	278,8136
13.07.2017	012123	012122	000349	1	22,0339
13.07.2017	012123	012122	006177	1	490,678
13.07.2017	012123	012122	007951	2	964,4068
20.07.2017	012365	012364	010024	1	304,2373
20.07.2017	012365	012368	010771	5	1563,5595
20.07.2017	012365	012402	010771	-1	-312,7119
20.07.2017	012365	012368	003022	2	93,2204
20.07.2017	012365	012364	000306	1	24,5763
20.07.2017	012365	012364	000307	1	24,5763
20.07.2017	012365	012368	003129	1	0
20.07.2017	012365	012368	009464	1	651,6949
29.07.2017	012730	012729	012731	2	676,2712
11.08.2017	013168	013167	009945	1	6347,4576
19.08.2017	013401	013400	013402	1	2541,5254
20.08.2017	013462	013461	001552	1	1948,3051
20.08.2017	013462	013467	001552	1	1753,4764
20.08.2017	013462	013489	001552	-1	-1948,3051
20.08.2017	013462	013461	003321	6	1349,6952
20.08.2017	013462	013467	003321	6	1214,7264
