Показатель 2	Показатель 3	Показатель 4	Показатель 5	Показатель|Количество
0.38	0.954	0.088	40	1
0.548	0.674	0.279	54	1
0.775	0.329	0.424	15	1
0.944	0.473	0.475	48	1
0.904	0.514	0.994	44	1
0.396	0.422	0.612	50	1
0.57	0.974	0.443	57	1
0.309	0.388	0.28	62	1
0.136	0.153	0.544	85	1
0.958	0.923	0.306	42	1
0.423	0.378	0.593	6	1
0.145	0.71	0.904	33	1
0.827	0.254	0.584	25	1
0.853	0.02	0.985	27	1
0.833	0.903	0.705	69	1
0.056	0.889	0.491	59	1
0.622	0.859	0.139	58	1
0.215	0.425	0.21	60	1
0.724	0.789	0.877	13	1
0.422	0.3	0.665	65	1
0.407	0.11	0.558	57	1
0.821	0.515	0.317	69	1
0.332	0.139	0.954	46	1
0.441	0.492	0.884	89	1
0.821	0.15	0.334	100	1
0.852	0.163	0.907	73	1
0.265	0.771	0.046	18	1
0.795	0.195	0.213	41	1
0.994	0.501	0.959	67	1
0.643	0.986	0.481	57	1
0.761	0.142	0.553	94	1
0.629	0.318	0.903	71	1
0.825	0.745	0.5	41	1
0.119	0.831	0.178	19	1
0.369	0.252	0.483	62	1
0.26	0.892	0.07	99	1
0.228	0.982	0.884	80	1
0.534	0.421	0.641	64	1
0.281	0.121	0.969	74	1
0.142	0.077	0.694	78	1
0.773	0.995	0.434	21	1
0.232	0.851	0.905	70	1
0.14	0.25	0.722	68	1
0.936	0.689	0.185	48	1
0.769	0.593	0.266	32	1
0.445	0.232	0.088	51	1
0.545	0.61	0.189	39	1
0.101	0.351	0.052	41	1
0.139	0.926	0.54	75	1
0.159	0.74	0.06	7	1
0.761	0.597	0.513	13	1
0.06	0.598	0.216	26	1
0.679	0.617	0.492	44	1
0.717	0.346	0.958	74	1
0.344	0.88	0.855	73	1
0.246	0.116	0.688	51	1
0.004	0.945	0.363	48	1
0.434	0.857	0.501	87	1
0.235	0.987	0.072	4	1
0.348	0.642	0.282	47	1
0.027	0.884	0.609	39	1
0.555	0.742	0.271	14	1
0.643	0.782	0.664	31	1
0.529	0.367	0.661	46	1
0.833	0.567	0.541	4	1
0.033	0.046	0.432	33	1
0.272	0.826	0.756	79	1
0.944	0.864	0.75	10	1
0.673	0.278	0.363	60	1
0.641	0.47	0.147	27	1
0.756	0.91	0.468	68	1
0.936	0.673	0.534	20	1
0.398	0.369	0.596	91	1
0.549	0.296	0.483	77	1
