"index,""actual"",""predicted"""
1,1,1
2,4,4
3,4,4
4,4,4
5,1,1
6,3,3
7,5,5
8,3,3
9,5,5
10,4,4
11,5,5
12,2,2
13,3,3
14,0,0
15,2,1
16,4,4
17,4,4
18,3,3
19,2,2
20,3,3
21,0,1
22,2,2
23,3,3
24,2,2
25,4,4
26,3,5
27,4,4
28,1,1
29,5,5
30,4,4
31,1,1
32,5,5
33,5,3
34,2,3
35,4,1
36,5,5
37,1,3
38,4,4
39,1,1
40,4,4
41,0,0
42,0,0
43,1,1
44,5,5
45,0,0
46,4,1
47,0,0
48,1,1
49,1,3
50,5,5
51,0,0
52,3,5
53,0,0
54,5,5
55,1,1
56,4,4
57,2,2
58,4,4
59,4,4
60,5,5
61,2,2
62,3,3
63,4,4
64,1,1
65,1,1
66,4,4
67,5,5
68,2,2
69,4,4
70,0,0
71,1,1
72,2,2
73,0,4
74,5,5
75,1,1
76,0,0
77,1,1
78,3,4
79,0,0
80,2,2
81,0,0
82,5,5
83,0,0
84,4,4
85,3,3
86,4,4
87,1,1
88,5,5
89,4,4
90,0,3
91,3,3
92,0,0
93,4,4
94,3,3
95,0,0
96,3,3
97,2,2
98,0,0
99,4,4
100,4,4
101,2,2
102,2,2
103,3,3
104,1,1
105,5,5
106,3,3
107,3,3
108,0,0
109,0,4
110,1,1
111,4,4
112,1,1
113,2,1
114,3,3
115,5,5
116,0,0
117,5,5
118,3,3
119,5,5
120,1,1
121,3,3
122,5,5
123,5,5
124,2,5
125,3,3
126,5,5
127,0,0
128,5,5
129,4,4
130,2,2
131,1,3
132,4,2
133,2,2
134,5,1
135,4,4
136,3,3
137,3,3
138,2,2
139,3,3
140,3,3
141,1,4
142,0,0
143,0,0
144,3,3
145,1,1
146,2,2
147,1,1
148,3,3
149,5,5
150,0,0
151,2,2
152,5,5
153,0,0
154,1,1
155,4,4
156,1,1
157,3,3
158,1,0
159,2,2
160,1,1
161,4,4
162,5,5
163,0,0
164,4,4
165,1,1
166,2,2
167,4,4
168,4,4
169,4,4
170,4,4
171,1,1
172,0,0
173,4,4
174,0,0
175,4,2
176,4,4
177,2,2
178,5,5
179,5,5
180,3,3
181,3,3
182,1,1
183,3,3
184,0,0
185,1,3
186,2,5
187,5,5
188,3,3
189,2,2
190,4,4
191,1,4
192,4,4
193,4,4
194,1,1
195,5,5
196,0,0
197,4,4
198,0,0
199,3,3
200,3,3
201,2,2
202,4,4
203,0,0
204,0,0
205,5,2
206,1,3
207,0,0
208,3,3
209,2,2
210,1,1
211,2,0
212,5,5
213,2,2
214,0,0
215,5,5
216,5,5
217,4,4
218,4,4
219,0,3
220,5,5
221,0,0
222,0,0
223,3,3
224,0,0
225,4,4
226,0,0
227,4,4
228,0,0
229,1,1
230,1,1
231,5,5
232,2,4
233,0,0
234,5,5
235,1,1
236,4,4
237,5,5
238,1,1
239,5,5
240,2,2
241,3,3
242,0,0
243,1,4
244,2,1
245,4,4
246,0,2
247,3,3
248,1,1
249,5,5
250,1,1
251,5,5
252,0,0
253,3,3
254,1,1
255,2,2
256,3,3
257,5,5
258,3,3
259,0,0
260,0,0
261,0,0
262,5,5
263,1,1
264,2,2
265,1,2
266,3,3
267,2,1
268,4,0
269,3,3
270,4,4
271,2,2
272,1,1
273,2,2
274,2,2
275,1,1
276,5,5
277,1,1
278,5,5
279,3,3
280,5,5
281,4,4
282,3,3
283,2,2
284,4,4
285,3,4
286,3,3
287,3,2
288,0,0
289,0,0
290,2,2
291,4,4
292,3,3
293,2,2
