timestamp,motion,temperature,voltage
2025-10-11 16:45:27.929353,88,20.8,3.481
2025-10-11 16:45:32.930468,17,20.8,3.481
2025-10-11 16:45:37.931289,208,20.8,3.484
2025-10-11 16:45:42.932491,281,20.8,3.478
2025-10-11 16:45:47.933104,46,20.8,3.484
2025-10-11 16:45:52.933854,304,20.8,3.479
2025-10-11 16:45:57.934691,586,20.8,3.479
2025-10-11 16:46:02.935480,89,20.8,3.477
2025-10-11 16:46:07.936060,211,20.8,3.481
2025-10-11 16:46:12.937067,131,20.8,3.477
2025-10-11 16:46:17.937766,325,20.8,3.479
2025-10-11 16:46:22.938255,160,20.8,3.479
2025-10-11 16:46:27.939082,37,20.8,3.476
2025-10-11 16:46:32.939925,513,20.8,3.481
2025-10-11 16:46:37.940963,282,20.8,3.473
2025-10-11 16:46:42.941456,119,20.8,3.477
2025-10-11 16:46:47.942360,76,20.8,3.476
2025-10-11 16:46:52.943179,16,20.8,3.479
2025-10-11 16:46:57.944013,26,20.8,3.474
2025-10-11 16:47:02.944748,26,20.8,3.477
2025-10-11 16:47:07.945679,99,20.8,3.473
2025-10-11 16:47:12.946462,236,20.8,3.474
2025-10-11 16:47:17.947568,153,20.8,3.473
2025-10-11 16:47:22.947984,24,20.8,3.479
2025-10-11 16:47:27.948801,18,20.8,3.472
2025-10-11 16:47:32.949349,14,20.7,3.478
2025-10-11 16:47:37.950138,25,20.7,3.471
2025-10-11 16:47:42.950926,12,20.8,3.473
2025-10-11 16:47:47.952307,37,20.7,3.473
2025-10-11 16:47:52.953065,22,20.7,3.476
2025-10-11 16:47:57.953846,18,20.7,3.471
2025-10-11 16:48:02.954550,50,20.7,3.473
2025-10-11 16:48:07.955260,25,20.7,3.471
2025-10-11 16:48:12.956243,18,20.7,3.472
2025-10-11 16:48:17.956716,15,20.7,3.466
2025-10-11 16:48:22.957253,144,20.7,3.474
2025-10-11 16:48:27.957840,33,20.7,3.469
2025-10-11 16:48:32.958776,17,20.7,3.474
2025-10-11 16:48:37.959921,19,20.7,3.469
2025-10-11 16:48:42.960604,29,20.7,3.473
2025-10-11 16:48:47.961223,25,20.7,3.469
2025-10-11 16:48:52.962628,33,20.7,3.472
2025-10-11 16:48:57.963374,13,20.7,3.468
2025-10-11 16:49:02.964127,17,20.7,3.466
2025-10-11 16:49:07.965005,23,20.7,3.467
2025-10-11 16:49:12.965454,66,20.7,3.465
2025-10-11 16:49:17.965860,34,20.7,3.465
2025-10-11 16:49:22.966698,20,20.7,3.471
2025-10-11 16:49:27.967427,16,20.7,3.463
2025-10-11 16:49:32.968195,132,20.7,3.465
2025-10-11 16:49:37.968961,58,20.7,3.468
2025-10-11 16:49:42.969781,16,20.7,3.47
2025-10-11 16:49:47.972110,48,20.7,3.463
2025-10-11 16:49:52.972884,40,20.7,3.467
2025-10-11 16:49:57.973668,21,20.6,3.463
2025-10-11 16:50:02.974165,14,20.7,3.46
2025-10-11 16:50:07.974805,29,20.6,3.467
2025-10-11 16:50:12.975939,42,20.7,3.469
2025-10-11 16:50:17.977136,136,20.6,3.461
2025-10-11 16:50:22.978189,27,20.6,3.46
2025-10-11 16:50:27.978637,25,20.7,3.462
2025-10-11 16:50:32.979470,39,20.6,3.458
2025-10-11 16:50:37.980260,18,20.6,3.465
2025-10-11 16:50:42.981008,24,20.6,3.46
2025-10-11 16:50:47.981801,48,20.6,3.46
2025-10-11 16:50:52.982643,19,20.6,3.46
2025-10-11 16:50:57.983353,122,20.6,3.465
2025-10-11 16:51:02.984076,21,20.6,3.458
2025-10-11 16:51:07.984825,25,20.6,3.466
2025-10-11 16:51:12.986170,31,20.6,3.459
2025-10-11 16:51:17.986996,21,20.6,3.46
2025-10-11 16:51:22.987408,49,20.6,3.458
2025-10-11 16:51:27.987990,26,20.6,3.461
2025-10-11 16:51:32.989358,21,20.6,3.455
2025-10-11 16:51:37.989924,11,20.6,3.463
2025-10-11 16:51:42.990472,15,20.6,3.455
2025-10-11 16:51:47.991261,18,20.5,3.462
2025-10-11 16:51:52.992196,19,20.6,3.455
2025-10-11 16:51:57.992996,15,20.6,3.461
2025-10-11 16:52:02.993838,12,20.5,3.454
2025-10-11 16:52:07.994587,42,20.5,3.46
2025-10-11 16:52:12.995467,40,20.5,3.456
2025-10-11 16:52:17.996145,46,20.5,3.459
2025-10-11 16:52:22.996929,37,20.6,3.452
2025-10-11 16:52:27.997688,33,20.5,3.458
2025-10-11 16:52:32.998550,23,20.5,3.452
2025-10-11 16:52:37.999349,20,20.5,3.455
2025-10-11 16:52:43.000120,14,20.5,3.451
2025-10-11 16:52:48.000895,19,20.5,3.459
2025-10-11 16:52:53.001680,319,20.5,3.452
2025-10-11 16:52:58.002458,77,20.5,3.458
2025-10-11 16:53:03.003237,13,20.5,3.449
2025-10-11 16:53:08.003950,147,20.5,3.449
2025-10-11 16:53:13.004414,119,20.5,3.452
2025-10-11 16:53:18.005069,36,20.5,3.457
2025-10-11 16:53:23.005974,15,20.5,3.451
2025-10-11 16:53:28.006785,36,20.5,3.455
2025-10-11 16:53:33.007540,111,20.5,3.45
2025-10-11 16:53:38.008000,20,20.5,3.447
2025-10-11 16:53:43.008811,79,20.4,3.452
2025-10-11 16:53:48.010480,21,20.4,3.454
2025-10-11 16:53:53.011002,17,20.4,3.448
2025-10-11 16:53:58.011705,48,20.5,3.449
2025-10-11 16:54:03.012220,23,20.4,3.449
2025-10-11 16:54:08.012880,28,20.5,3.447
2025-10-11 16:54:13.013238,101,20.5,3.454
2025-10-11 16:54:18.013847,88,20.5,3.448
2025-10-11 16:54:23.014532,42,20.4,3.447
2025-10-11 16:54:28.015374,193,20.4,3.446
2025-10-11 16:54:33.016212,39,20.4,3.45
2025-10-11 16:54:38.016919,11,20.4,3.446
2025-10-11 16:54:43.017658,10,20.4,3.45
2025-10-11 16:54:48.018888,70,20.4,3.444
2025-10-11 16:54:53.020549,162,20.4,3.446
2025-10-11 16:54:58.021429,27,20.4,3.444
2025-10-11 16:55:03.021901,151,20.4,3.449
2025-10-11 16:55:08.022476,21,20.4,3.443
2025-10-11 16:55:13.023604,61,20.4,3.448
2025-10-11 16:55:18.024384,188,20.4,3.444
2025-10-11 16:55:23.025093,130,20.4,3.446
